iter	Passed	Remaining
409	5136	7391
410	5150	7380
411	5164	7370
412	5176	7357
413	5186	7341
414	5200	7331
415	5213	7319
416	5224	7304
417	5235	7289
418	5248	7277
419	5258	7262
420	5269	7247
421	5281	7234
422	5293	7220
423	5306	7208
424	5318	7195
425	5332	7185
426	5345	7173
427	5358	7161
428	5368	7145
429	5380	7132
430	5391	7118
431	5400	7100
432	5411	7086
433	5422	7071
434	5432	7055
435	5444	7042
436	5456	7030
437	5470	7018
438	5481	7004
439	5492	6989
440	5502	6974
441	5512	6959
442	5526	6949
443	5536	6933
444	5547	6918
445	5558	6904
446	5568	6889
447	5579	6874
448	5591	6861
449	5603	6848
450	5617	6838
451	5629	6824
452	5641	6812
453	5654	6800
454	5667	6788
455	5679	6775
456	5691	6762
457	5704	6751
458	5717	6739
459	5731	6727
460	5741	6712
461	5753	6700
462	5765	6687
463	5778	6674
464	5791	6662
465	5803	6650
466	5815	6637
467	5829	6626
468	5839	6611
469	5852	6599
470	5865	6587
471	5875	6572
472	5887	6559
473	5898	6545
474	5908	6530
475	5920	6517
476	5933	6505
477	5946	6493
478	5957	6479
479	5968	6466
480	5980	6453
481	5992	6439
482	6002	6425
483	6014	6412
484	6024	6397
485	6035	6383
486	6048	6371
487	6060	6358
488	6072	6345
489	6083	6331
490	6095	6318
491	6110	6308
492	6120	6294
493	6132	6281
494	6147	6272
495	6165	6264
496	6178	6252
497	6192	6242
498	6207	6232
499	6220	6220
500	6234	6209
501	6246	6196
502	6259	6184
503	6269	6170
504	6283	6159
505	6295	6146
506	6307	6132
507	6318	6119
508	6329	6105
509	6341	6092
510	6352	6079
511	6362	6063
512	6374	6051
513	6385	6038
514	6395	6023
515	6408	6010
516	6418	5996
517	6428	5981
518	6440	5968
519	6450	5954
520	6460	5939
521	6475	5929
522	6490	5919
523	6503	5908
524	6517	5896
525	6530	5885
526	6543	5873
527	6558	5862
528	6573	5852
529	6586	5840
530	6597	5827
531	6607	5812
532	6619	5800
533	6632	5787
534	6641	5772
535	6652	5759
536	6663	5745
537	6677	5734
538	6690	5721
539	6702	5709
540	6714	5697
541	6724	5682
542	6736	5669
543	6747	5656
544	6757	5641
545	6769	5628
546	6782	5616
547	6793	5603
548	6804	5590
549	6818	5578
550	6831	5566
551	6846	5556
552	6856	5542
553	6870	5530
554	6887	5522
555	6901	5511
556	6917	5501
557	6930	5489
558	6943	5478
559	6954	5464
560	6966	5451
561	6980	5440
562	6994	5428
563	7005	5415
564	7016	5402
565	7029	5390
566	7044	5379
567	7057	5367
568	7071	5356
569	7085	5345
570	7099	5333
571	7112	5321
572	7123	5308
573	7134	5295
574	7147	5282
575	7161	5271
576	7174	5259
577	7188	5248
578	7202	5236
579	7212	5223
580	7226	5211
581	7237	5198
582	7247	5183
583	7259	5170
584	7270	5157
585	7285	5147
586	7300	5136
587	7311	5122
588	7326	5112
589	7338	5099
590	7352	5088
591	7363	5075
592	7376	5062
593	7389	5050
594	7404	5039
595	7417	5028
596	7431	5016
597	7444	5004
598	7462	4995
599	7479	4986
600	7493	4975
601	7511	4965
602	7522	4952
603	7537	4942
604	7551	4930
605	7565	4918
606	7581	4908
607	7594	4896
608	7605	4883
609	7618	4870
610	7632	4859
611	7645	4846
612	7655	4833
613	7668	4821
614	7680	4808
615	7692	4795
616	7706	4783
617	7718	4771
618	7731	4758
619	7744	4746
620	7758	4735
621	7780	4728
622	7800	4720
623	7817	4710
624	7832	4699
625	7847	4688
626	7862	4677
627	7876	4665
628	7893	4655
629	7916	4649
630	7935	4640
631	7949	4628
632	7964	4617
633	7977	4605
634	7987	4591
635	8000	4579
636	8012	4565
637	8024	4553
638	8034	4538
639	8045	4525
640	8058	4513
641	8067	4498
642	8081	4486
643	8094	4474
644	8111	4464
645	8125	4452
646	8137	4439
647	8151	4428
648	8162	4414
649	8174	4401
650	8185	4388
651	8195	4374
652	8208	4361
653	8219	4348
654	8229	4334
655	8242	4322
656	8254	4309
657	8266	4296
658	8276	4282
659	8289	4270
