iter	Logloss
0	0.5841789843
1	0.5007031688
2	0.4355646435
3	0.3894716323
4	0.3533282226
5	0.3202840781
6	0.2946044427
7	0.2744562925
8	0.26128209
9	0.2513772416
10	0.2402020309
11	0.2312225254
12	0.2247526669
13	0.2190785359
14	0.2147987306
15	0.2117299111
16	0.2092205354
17	0.2061778067
18	0.2038257258
19	0.2018636005
20	0.2004120559
21	0.1989668932
22	0.1978454741
23	0.1968039858
24	0.1958802865
25	0.1950951607
26	0.1943567217
27	0.1936930278
28	0.193167144
29	0.1927346904
30	0.1924357914
31	0.1920725717
32	0.1918179651
33	0.1914943587
34	0.1912177511
35	0.1909991024
36	0.1907757048
37	0.1906491691
38	0.1904917924
39	0.1903225519
40	0.190196937
41	0.1900462949
42	0.1898924146
43	0.189732985
44	0.1895746181
45	0.1894861505
46	0.1893933285
47	0.1893036378
48	0.1892060461
49	0.189121791
50	0.1890596472
51	0.1889919989
52	0.1889066078
53	0.1888108701
54	0.1887442803
55	0.1886600561
56	0.1885835533
57	0.1885255513
58	0.1884256907
59	0.1883396724
60	0.1882744986
61	0.1882136622
62	0.1881495308
63	0.1880909996
64	0.1880451979
65	0.1879758889
66	0.1879309232
67	0.1878991142
68	0.1878406006
69	0.187796365
70	0.1877548248
71	0.187712608
72	0.1876546999
73	0.1876129918
74	0.1875473542
75	0.1874787041
76	0.1874449968
77	0.1874101648
78	0.187390873
79	0.187341654
80	0.1873107314
81	0.1872707655
82	0.1872019533
83	0.1871371144
84	0.1871050938
85	0.1870612848
86	0.1870290718
87	0.1870053842
88	0.1869803122
89	0.1869078237
90	0.1868562703
91	0.1868400191
92	0.1868217174
93	0.1867940977
94	0.1867682918
95	0.1867308581
96	0.1866887349
97	0.1866759547
98	0.1866365215
99	0.1865963034
100	0.1865578327
101	0.1865016561
102	0.1864371608
103	0.1864071136
104	0.1863748395
105	0.1863496456
106	0.1863251811
107	0.186300564
108	0.1862729987
109	0.1862355349
110	0.186210459
111	0.1861787589
112	0.1861270963
113	0.1861002243
114	0.1860721448
115	0.1860416412
116	0.1860219506
117	0.1860027207
118	0.1859763496
119	0.1859264918
120	0.1858967441
121	0.1858775159
122	0.1858444746
123	0.185809288
124	0.1857824727
125	0.1857576871
126	0.1857426321
127	0.1857141601
128	0.1856988834
129	0.1856538439
130	0.1856187355
131	0.1855829075
132	0.1855595295
133	0.1855481189
134	0.1855276006
135	0.185497505
136	0.1854613527
137	0.1854264115
138	0.1854024755
139	0.1853718232
140	0.185326774
141	0.185298922
142	0.1852518281
143	0.1852211107
144	0.1851677881
145	0.1851503006
146	0.18512539
147	0.185119439
148	0.1850910377
149	0.1850620441
150	0.1850270028
151	0.1850076248
152	0.1849584991
153	0.1849318373
154	0.1849072422
155	0.1848749227
156	0.1848549279
157	0.1848322185
158	0.1848051767
159	0.1847631127
160	0.1847223387
161	0.1846825134
162	0.1846423643
163	0.1846204456
164	0.1846145395
165	0.1845930531
166	0.1845706145
167	0.1845305013
168	0.1844915728
169	0.1844579021
170	0.1844176142
171	0.1843730317
172	0.1843394524
173	0.1843049014
174	0.1842699449
175	0.1842173295
176	0.1841818445
177	0.1841312359
178	0.1841065959
179	0.1840731581
180	0.1840713111
181	0.1840333951
182	0.1839969458
